<http://dbpedia.org/resource/Napoleon> ?x	?y
<http://www.w3.org/2002/07/owl#sameAs>	<http://nap.dbpedia.org/resource/Napoleone_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://nds.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ne.dbpedia.org/resource/नेपोलियन_बोनापार्ट>
<http://www.w3.org/2002/07/owl#sameAs>	<http://nn.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://no.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://oc.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pms.dbpedia.org/resource/Napoleon_Bon-a-part>
<http://www.w3.org/2002/07/owl#sameAs>	<http://pnb.dbpedia.org/resource/نیپولین>
<http://www.w3.org/2002/07/owl#sameAs>	<http://qu.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ro.dbpedia.org/resource/Napoleon_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ru.dbpedia.org/resource/Наполеон_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sa.dbpedia.org/resource/नेपोलियन_बोनापार्ट>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sah.dbpedia.org/resource/Наполеон>
<http://www.w3.org/2002/07/owl#sameAs>	<http://scn.dbpedia.org/resource/Napuliuni_Bonaparti>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sco.dbpedia.org/resource/Napoleon_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sh.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://simple.dbpedia.org/resource/Napoleon>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sk.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sl.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sq.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sr.dbpedia.org/resource/Наполеон_I_Бонапарта>
<http://www.w3.org/2002/07/owl#sameAs>	<http://su.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sv.dbpedia.org/resource/Napoleon_I>
<http://www.w3.org/2002/07/owl#sameAs>	<http://sw.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ta.dbpedia.org/resource/பிரான்சின்_முதலாம்_நெப்போலியன்>
<http://www.w3.org/2002/07/owl#sameAs>	<http://te.dbpedia.org/resource/నెపోలియన్>
