SELECT * WHERE 
{ 
	<http://dbpedia.org/resource/University_of_Glasgow> ?x ?y.
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Brutalist_architecture>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Armando_Iannucci>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Greenfield_land>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_Otago>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Faculty_(division)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/UK_Government>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Civil_marriage>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Greg_Hemphill>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/File:AdamSmith.jpg>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Gothic_revival>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Steel_frame>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/George_Gilbert_Scott>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Dumfries>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Steven_Moffat>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Kenneth_Calman>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Civil_partnership_in_the_United_Kingdom>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Principal_(academia)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Association_of_Commonwealth_Universities>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Charles_Rennie_Mackintosh>
